[2025-12-28 10:59:07.006] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.delete
[2025-12-28 10:59:07.006] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.create
[2025-12-28 10:59:07.006] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.logout
[2025-12-28 10:59:07.006] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.login
[2025-12-28 10:59:07.006] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.edit
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.sendLoginMsg
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.bindUniNotify
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.newPassword
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.list
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.delete
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.create
[2025-12-28 10:59:07.007] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.edit
[2025-12-28 10:59:07.008] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.appraise.list
[2025-12-28 10:59:07.008] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.appraise.delete
[2025-12-28 10:59:07.008] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.update
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.list
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.delete
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.create
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.categoryTree
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.list
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.delete
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.create
[2025-12-28 10:59:07.009] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.edit
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.updateCouponStatus
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.dashboard.integral
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.erp.syncProduct
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.erp.syncCategory
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.freight.list
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.freight.delete
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.freight.create
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.freight.edit
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.list
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.detail
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.refund
[2025-12-28 10:59:07.010] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.queryToExcel
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.editAdminMono
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.ship
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.order.statistics
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.groupshop.list
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.groupshop.delete
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.groupshop.create
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.groupshop.edit
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.list
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.delete
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.create
[2025-12-28 10:59:07.011] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.detail
[2025-12-28 10:59:07.012] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.edit
[2025-12-28 10:59:07.012] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.getSpuBigTree
[2025-12-28 10:59:07.012] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.freezeOrActivation
[2025-12-28 10:59:07.012] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.batchDelete
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.product.rebuildProductCache
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.update
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.list
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.delete
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.options
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.create
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.permissionSet
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.role.permissionList
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.user.list
[2025-12-28 10:59:07.013] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.user.delete
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.user.edit
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.user.editStatus
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.vip.order.list
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.vip.order.refund
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.vip.template.list
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.vip.template.delete
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.vip.template.create
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.vip.template.edit
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] address.list
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] address.delete
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] address.create
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] address.edit
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] address.getAddressById
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] address.getDefAddress
[2025-12-28 10:59:07.014] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] advert.getActiveAd
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] appraise.delete
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] appraise.create
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] appraise.getSpuAppraisePage
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] appraise.getUserAllAppraise
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] appraise.getAppraiseById
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.subCartItem
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.removeCartAll
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.addCartItem
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.removeCartItem
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.updateCartItemNum
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.getCartList
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.countCart
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] cart.removeCartItemBatch
[2025-12-28 10:59:07.015] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] category.getCategoryFamily
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] category.categoryList
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] coupon.getVipCoupons
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] coupon.obtainCoupon
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] coupon.getUserCoupons
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] coupon.getObtainableCoupon
[2025-12-28 10:59:07.016] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] favorite.list
